TS Product Code,Product Brand Name,Part Name,Part Name Type,Supplier Copy,Toolstation Catalogue Copy,Toolstation Web Copy,Application Method,Colour Family,Colour Name,Content Volume,Coverage,Dilutable,Drying Time,Finish,Interior Or Exterior Use,Liquid Base,Recoat Time,Recommended Number Of Coats,Showerproof Ready,Substrate,Suitable For,Touch Dry
12268,,Industrial Spray Paint 500ml,Jet Black,,"Tough quick drying industrial paint, gives maximum protection on metal, wood and other substrates. Allow 24 hours for paint to harden.
 Hazard safety codes: F+, Xi, R12, R36, R66, R67.
 
 
 Sale will be restricted to over 18s.","<lt/>p<gt/>Need a tough, quick-drying industrial acrylic paint? Pro-Cote jet black spray paint can be used on most metals, wood and rigid plastics - it offers excellent resistance to weathering and cracking, and is suitable for overcoating of all conventional primers.<lt/>/p<gt/><lt/>p<gt/>Supplied in a handy 500ml aerosol can for quick and easy application, maximum protection is just a spray away with Pro-Cote!<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Suitable for use on most metals, wood and rigid plastics<lt/>/p<gt/><lt/>p<gt/>• Tough and quick-drying for maximum protection<lt/>/p<gt/><lt/>p<gt/>• Suitable for overcoating of all conventional primers<lt/>/p<gt/><lt/>p<gt/>• Good resistance to weathering and cracking<lt/>/p<gt/><lt/>p<gt/>• Allow 24 hours for paint to harden<lt/>/p<gt/><lt/>p<gt/>• 500ml aerosol can - quick and easy to apply<lt/>/p<gt/><lt/>p<gt/>• Hazard safety codes - F+, Xi, R12, R36, R66, R67<lt/>/p<gt/><lt/>p<gt/>• Sale restricted to over-18s only<lt/>/p<gt/>",Spray,Black,Black,500 ml,,No,24 hr,Gloss,Interior and Exterior,Solvent,10 min,2,No,Metal;Wood,"Most metals, wood and rigid plastics",20 min
11898,Zinsser,Zinsser Cover Stain Primer Paint,White 2.5L,,,"<lt/>p<gt/>Don't let any time go to waste when you're decorating indoor or outdoor surfaces. If you use this Zinsser Cover Stain primer-sealer, your new wood trim can be primed, sanded and top-coated all on the same day.<lt/>/p<gt/><lt/>p<gt/>Cover Stain will be touch-dry in 35 minutes, and recoatable in two hours - this fast-acting primer will help you get the job done quicker, saving you time and money. A generous coverage of up to 9.8m² per litre ensures each tin goes a long way, and it can be used under any solvent-based or water-based topcoat.<lt/>/p<gt/><lt/>p<gt/>On interior surfaces, the quick-drying Cover Stain has great hiding power and permanently seals stains of all kinds - you can be confident your topcoats will be blemish-free. It is especially effective on nicotine and water stains.<lt/>/p<gt/><lt/>p<gt/>Outdoors, Cover Stain's unique formulation delivers full penetration and flexibility on all surfaces, especially dimensionally unstable wood panelling and trim - few oil-based primers can succeed here. It resists cracking and peeling and is compatible with all decorative top coats.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 9.8m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 35 minutes<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 2 hours<lt/>/p<gt/><lt/>p<gt/>• Full cure in 4-7 days<lt/>/p<gt/><lt/>p<gt/>• Easy to apply with brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior or exterior use<lt/>/p<gt/><lt/>p<gt/>• Sticks to all surfaces without the need for sanding<lt/>/p<gt/><lt/>p<gt/>• Seals all kinds of stains such as water, smoke or nicotine<lt/>/p<gt/><lt/>p<gt/>• Blocks cedar and redwood bleed<lt/>/p<gt/><lt/>p<gt/>• Resists cracking and peeling<lt/>/p<gt/><lt/>p<gt/>• Compatible with all decorative top coats<lt/>/p<gt/><lt/>p<gt/>• Solvent-based formula<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 2.5L tin - total coverage of up to 24.5m²<lt/>/p<gt/>",Brush;Roller;Spray;Decking Pad,White,White,2.5 l,24.5 m² (9.8 per litre),No,96 hr,Matt,Interior and Exterior,Solvent,2 hr,1,No,Wood;Metal;Plaster;Tile;UPVC;Vinyl;Masonry,All indoor and outdoor surfaces,30 min
12702,Rustins,Rustins Quick Dry Varnish Satin Clear,1L,,"This quick-dry varnish from Rustins is here to protect your woodwork from dirt and dust. The satin varnish evens out any wood surfaces, leaving it with a mid-sheen finish. What's more, it also doubles as a sealant layer on concrete, brickwork, and plaster, keeping the surfaces air and watertight.
 
 This varnish is touch dry in 30 minutes, which makes it perfect for quick application on surfaces that are in constant use. In just two to three coats, you'll have a tough and durable finish that's ready for round-the-clock contact. Being a water-based formula, it's non-toxic with a pleasant, mild odour that doesn't linger too long. Plus, the product lends a natural gloss to all woodwork without affecting its original colour and doesn't yellow over time.
 
 • Provides a tough, durable, satin finish on all interior wood
 • Water based
 • Quick drying - touch dry in 30 minutes
 • Re-coatable in 2 hours
 • Approx coverage 13-15m² per litre
 • Conforms to safety of toys regulations BS EN 71 Part 3 1995
 • Non-flammable",,,Clear,Clear,1 l,,,,Satin,Interior and Exterior,,,,,,,
13094,Plastikote,Plastikote Quick Dry Satinwood Spray Paint 400ml,White,,"Fast drying paint with a new hybrid formulation providing high levels of scratch resistance and low odour during use. Ideal for spraying or updating window sills or any trim areas made from wood, metal, stone and most types of plastic.
 
 
 1-1.75m2 coverage. Touch dry in 45 minutes.","<lt/>p<gt/>When you need to update window sills or trim areas, do it the easy way with PlastiKote Quick Dry Satinwood spray paint. The 400ml aerosol spray is so quick to apply, and equally fast to dry - it'll be touch-dry in 45 minutes.<lt/>/p<gt/><lt/>p<gt/>Perfect for spraying any trim area made from wood, metal, stone and most types of plastic, PlastiKote Quick Dry Satinwood has a new hybrid formulation that provides high levels of scratch resistance and low odour during use.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• 400ml aerosol spray for easy application<lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 1.75m² per can<lt/>/p<gt/><lt/>p<gt/>• Quick-drying - touch-dry in just 45 minutes<lt/>/p<gt/><lt/>p<gt/>• For use on wood, metal, stone and most plastics<lt/>/p<gt/><lt/>p<gt/>• Perfect for updating window sills or trim areas<lt/>/p<gt/><lt/>p<gt/>• Provides high levels of scratch resistance<lt/>/p<gt/><lt/>p<gt/>• Low odour during use<lt/>/p<gt/>",Spray,White,White,400 ml,1.75 m² (4.4m²/L),No,2 hr,Satin,Interior and Exterior,Solvent,2 hr,,Yes,Wood;Metal;Masonry,"Wood, metal, aluminium, glass, stone and
 various types of plastic",30 min
13298,Dulux Trade,Dulux Trade Weathershield Exterior Undercoat Paint,2.5L,,"• 8 year all weather protection
 • Excellent flexibility and adhesion
 • Solvent based
 • Suitable for exterior use",,Brush,White,White,2.5 l,40 m² (16m²/L),No,6 hr,,Exterior Use,Solvent,6 hr,2,Yes,Wood,Exterior wooden surfaces,2 hr
13642,Bedec,Bedec Multi Surface Paint,Matt Dark Grey 750ml,,,"<lt/>p<gt/>Need a versatile and reliable paint you can depend on for all kinds of jobs? Make this Bedec Multi-Surface Paint your go-to choice - it's suitable for indoor or outdoor use on a wide variety of surfaces.<lt/>/p<gt/><lt/>p<gt/>Apply this matt dark grey paint directly to wood, plastic, metal, plastic-coated steel, galvanised steel, aluminium, copper, cladding, brick, masonry, fibreglass, terracotta, stone, plaster, MDF, tiles, melamine, UPVC and much more!<lt/>/p<gt/><lt/>p<gt/>With its outstanding flexibility, MSP resists flaking, peeling or cracking. It goes over most other paints and varnishes including weathered tar varnish, bitumen and creosote. This water-based paint is non-yellowing, and cleans up with water.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 12-14m² per litre<lt/>/p<gt/><lt/>p<gt/>• Usually dries in 2-4 hours - recoatable after 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior and exterior use<lt/>/p<gt/><lt/>p<gt/>• No primer or undercoat needed<lt/>/p<gt/><lt/>p<gt/>• Use on wood, MDF, metals, plastics, tiles, radiators and more<lt/>/p<gt/><lt/>p<gt/>• Resistant to flaking, peeling and cracking<lt/>/p<gt/><lt/>p<gt/>• Quick-drying, water-based formula - low VOC<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 750ml tin - total coverage of up to 10.5m²<lt/>/p<gt/>",Brush;Roller;Spray,Grey,Grey,750 ml,10.5 m²,Yes,4 hr,Matt,Interior and Exterior,Water,4 hr,2,No,Masonry;Metal;Plaster;Tile;UPVC;Vinyl;Wood,"Indoor or outdoor use on a wide variety of surfaces including wood, MDF, metals, plastics, tiles, radiators and more",2 hr
13048,Barrettine,Clear Floor Wax,2.5L,,A clear quick drying wax finish which nourishes and protects whilst providing a lasting depth of sheen that naturally enhances the beauty of wood flooring. Can be applied on previously treated surfaces to maintain or improve the existing patina. Drying time 10 - 15 minutes at room temperature. Approx coverage 16m² per litre.,,Lint Free Cloth,Clear,Clear,2.5 l,16 m² / L,No,15 min,Silk,Interior Use,Solvent,15 min,1,No,Wood,Solid wood/veneered floors and surfaces of fine furniture and cabinet work,15 min
13781,Polycell Trade,Polycell Textured Ceilings Coarse Effect Matt Paint,White 5L,,"• Permanently covers cracks and blemishes
 • White finish which does not yellow
 • Suitable for interior use",,Brush;Roller,White,White,5 l,13.6 m²,No,4 hr,Matt,Interior Use,,,1,No,Plaster,Interior walls and ceilings,2 hr
13956,Dulux Trade,Dulux Trade Diamond Eggshell Paint 2.5L,Pure Brilliant White,,"A tough and durable mid-sheen finish. 10 times tougher than Vinyl Silk and resistant to typical household stains. Quick drying with low odour compared to solvent based paints. Suitable for interior use on plaster, masonry and wood. Approximate coverage: 16m² per litre.","<lt/>p<gt/>Combining excellent coverage and easy application with a tough and durable finish, this Dulux Trade Diamond Eggshell paint excels on interior walls and ceilings. The pure brilliant white colour and smooth, mid-sheen finish ensure a professional job that will transform any room.<lt/>/p<gt/><lt/>p<gt/>Dulux Trade Diamond Eggshell is the perfect choice for walls in busy areas that require regular cleaning. It contains unique stain-repellent technology and is also highly resistant to scuffs and scrubbing. This wipeable finish ensures surfaces are easy to clean, keeping that freshly-painted look for even longer.<lt/>/p<gt/><lt/>p<gt/>This brilliant white paint also contains anti-fade technology to ensure this colour stands the test of time. Before use, surfaces should be mist-coated with an appropriate Dulux Trade product. Usually, two full coats of Diamond Eggshell will finish the job, but additional coats may be required for significant colour changes.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 16m² per litre<lt/>/p<gt/><lt/>p<gt/>• Normal finishing process of two full coats<lt/>/p<gt/><lt/>p<gt/>• Recoatable in 4-6 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior use on plaster and masonry<lt/>/p<gt/><lt/>p<gt/>• Tough and cleanable emulsion for a smooth, even mid-sheen finish<lt/>/p<gt/><lt/>p<gt/>• Anti-fade technology for a longer-lasting colour<lt/>/p<gt/><lt/>p<gt/>• Extremely durable - scrub, scuff and stain-resistant<lt/>/p<gt/><lt/>p<gt/>• Wipeable finish stands up to repeated cleaning<lt/>/p<gt/><lt/>p<gt/>• Touch-dry time dependent on temperature and humidity<lt/>/p<gt/><lt/>p<gt/>• Class 1 ISO 11998 and Type C BS 7719 scrub ratings<lt/>/p<gt/><lt/>p<gt/>• Water-based formula<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 2.5L tin - total coverage of up to 40m²<lt/>/p<gt/>",Brush;Roller;Spray,White,White,2.5 l,40 m² (16m²/L),No,4 hr,Egg Shell,Interior Use,Water,4 hr,2,No,Masonry;Plaster;Wood,"Interior Walls, Masonry, Ceilings, Wood",
14290,Rustins,Rustins Quick Dry Outdoor Wood Stain,Light Oak 500ml,,,,Brush,Wood,Oak,500 ml,7 m2,Yes,4 hr,Satin,Exterior Use,Water,4 hr,3,No,Wood,"Sheds, fences and outdoor wooden furniture requiring UV protection",30 min
14104,Dulux Trade,Dulux Trade Quick Dry Wood Primer Undercoat Paint,White 1L,,Quick drying water based primer and undercoat. Suitable for use on all interior and exterior hard and softwoods. Approximate coverage 13m² per litre.,"<lt/>p<gt/>A dual-purpose primer undercoat, suitable for use on interior and exterior woodwork. When you use Dulux Trade Quick Drying Wood Primer Undercoat, you'll be sure to do the very best job.<lt/>/p<gt/><lt/>p<gt/>Recoatable within four hours, this water-based, high-opacity white paint is perfect for use as a primer for softwoods, hardwoods, chipboard and fibreboard (except fire retardant-treated types). Need to use it as an undercoat? It's great on woodwork previously primed or painted with solvent or water-based paint too.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 13m² per litre<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 2-4 hours<lt/>/p<gt/><lt/>p<gt/>• Normal finishing process of two full coats<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Suitable for softwoods and hardwoods<lt/>/p<gt/><lt/>p<gt/>• Dual-purpose primer undercoat provides excellent adhesion<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior and exterior use<lt/>/p<gt/><lt/>p<gt/>• Water-based formula<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 1L tin - total coverage of up to 13m²<lt/>/p<gt/>",Brush;Roller;Spray,White,White,1 l,13 m² (13m²/L),Yes,2 hr,,Interior and Exterior,Water,2 hr,2,No,Wood,Interior and exterior woodwork,
